Estado,Medida,Puntaje_de_Medida,Año,ID_de_Medida
US,"US: COVID - % of Medicare patients initially infected with COVID, 2022-Q4",3.33,2022,allmcFcovpatPq4_u
US,"US: COVID - % of Medicare patients ever infected with COVID, 2022-Q4",27.36,2022,allmcEcovpatPq4_u
US,"US: COVID - % of deaths with patients ever infected with COVID, 2022-Q4",35.99,2022,allmcEcovDeaPq4_u
US,"US: COVID - % of hospitalizations with patients ever infected with COVID, 2022-Q4",35.78,2022,allmcEcovHosPq4_u
US,"US: COVID Nursing Home - % of Medicare patients initially infected with COVID, 2022-Q4",7.79,2022,nh_mcFcovpatPq4_u
US,"US: COVID Nursing Home - % of Medicare patients ever infected with COVID, 2022-Q4",45.05,2022,nh_mcEcovpatPq4_u
US,"US: COVID Nursing Home - % of deaths with patients ever infected with COVID, 2022-Q4",45.43,2022,nh_mcEcovDeaPq4_u
US,"US: COVID Nursing Home - % of hospitalizations with patients ever infected with COVID, 2022-Q4",44.36,2022,nh_mcEcovHosPq4_u
US,"US: Prevalent Patients - Age: Average patient age, 12/31/2022",63.05,2022,agey4_u
US,"US: Prevalent Patients - Age: % Less than 18 years, 12/31/2022",0.22,2022,age1y4_u
US,"US: Prevalent Patients - Age: % Between 18-64 years, 12/31/2022",49.76,2022,age2y4_u
US,"US: Prevalent Patients - Age: % Greater than or equal to 65 years, 12/31/2022",50.02,2022,age3y4_u
US,"US: Prevalent Patients - Primary Cause of ESRD: % Diabetes, 12/31/2022",45.02,2022,dis1y4_u
US,"US: Prevalent Patients - Primary Cause of ESRD: % Hypertension, 12/31/2022",31.15,2022,dis2y4_u
US,"US: Prevalent Patients - Primary Cause of ESRD: % Glomerulonephritis, 12/31/2022",9.15,2022,dis3y4_u
US,"US: Prevalent Patients - Primary Cause of ESRD: % Other/Unknown Cause, 12/31/2022",14.17,2022,dis4y4_u
US,"US: Prevalent Patients - Primary Cause of ESRD: % Missing Cause, 12/31/2022",0.52,2022,dis5y4_u
US,"US: Prevalent Patients - Vintage: % on ESRD Therapy less than 1 year, 12/31/2022",16.68,2022,vin1y4_u
US,"US: Prevalent Patients - Vintage: % on ESRD Therapy for 1-2 years, 12/31/2022",18.18,2022,vin2y4_u
US,"US: Prevalent Patients - Vintage: % on ESRD Therapy for 2-3 years, 12/31/2022",13.39,2022,vin3y4_u
US,"US: Prevalent Patients - Vintage: % on ESRD Therapy for 3-6 years, 12/31/2022",25.34,2022,vin4y4_u
US,"US: Prevalent Patients - Vintage: % on ESRD Therapy for over 6 years, 12/31/2022",26.41,2022,vin5y4_u
US,"US: Prevalent Patients - Race: % Asian/Pacific Islander, 12/31/2022",6.89,2022,rac1y4_u
US,"US: Prevalent Patients - Race: % African American, 12/31/2022",34.79,2022,rac2y4_u
US,"US: Prevalent Patients - Race: % Native American, 12/31/2022",1.44,2022,rac3y4_u
US,"US: Prevalent Patients - Race: % White, 12/31/2022",56.58,2022,rac4y4_u
US,"US: Prevalent Patients - Race: % Other/Unknown/Missing Race, 12/31/2022",0.3,2022,rac5y4_u
US,"US: Prevalent Patients - Ethnicity: % Hispanic, 12/31/2022",20.34,2022,eth1y4_u
US,"US: Prevalent Patients - Ethnicity: % Non-Hispanic, 12/31/2022",79.56,2022,eth2y4_u
US,"US: Prevalent Patients - Ethnicity: % Unknown Ethnicity, 12/31/2022",0.11,2022,eth3y4_u
US,"US: Prevalent Patients - Sex: % Female, 12/31/2022",42.1,2022,sexy4_u
US,"US: Prevalent Patients - Nursing Home: % of Nursing Home Facility Patients During Year, 12/31/2022",12.67,2022,nrshomey4_u
US,"US: Prevalent Patients - Vintage: Average Years of Prior ESRD Therapy, 12/31/2022",4.96,2022,viny4_u
US,"US: Prevalent Patients - Modality: % on Hemodialysis, 12/31/2022",83.74,2022,modhdy4_u
US,"US: Prevalent Patients - Modality: % on Home Hemodialysis, 12/31/2022",3.26,2022,modhhdy4_u
US,"US: Prevalent Patients - Modality: % on Continuous Ambulatory Peritoneal Dialysis, 12/31/2022",1.32,2022,modcapdy4_u
US,"US: Prevalent Patients - Modality: % on Continuous Cycling Peritoneal Dialysis, 12/31/2022",11.51,2022,modccpdy4_u
US,"US: Prevalent Patients - Modality: % Other Modality, 12/31/2022",0.17,2022,modothry4_u
US,"US: Prevalent Patients - End of Year Status: Average number of patients alive in facility, 2022",56.83,2022,pahy4m_u
US,"US: Calcium (Adult) - % of patient-months with uncorrected calcium < 8.4 mg/dL, 2022",18.65,2022,CWunCa1y4_u
US,"US: Calcium (Adult) - % of patient-months with uncorrected calcium 8.4-10.2 mg/dL, 2022",77.22,2022,CWunCa2y4_u
US,"US: Calcium (Adult) - % of patient-months with uncorrected calcium > 10.2 mg/dL, 2022",1.1,2022,CWunCa3y4_u
US,"US: Calcium (Adult) - % of patient-months with uncorrected calcium Missing, 2022",3.04,2022,CWunCamissy4_u
US,"US: Calcium (Adult) - % of patient-months with uncorrected calcium Out of Range, 2022",0.0,2022,CWunCaOoRy4_u
US,"US: Calcium (Adult) - Average uncorrected calcium in mg/dL, out of valid in range patient-months, 2022",8.89,2022,CWavgUnCay4_u
US,"US: Phosphorus (Adult) - Average serum phosphorus in mg/dL, out of valid in range patient-months, 2022",5.47,2022,CWavgPy4_u
US,"US: Phosphorus (Adult) - % of patient-months with serum phosphorus < 3.5 mg/dL, 2022",7.58,2022,CWP1y4_u
US,"US: Phosphorus (Adult) - % of patient-months with serum phosphorus 3.5-4.5 mg/dL, 2022",22.83,2022,CWP2y4_u
US,"US: Phosphorus (Adult) - % of patient-months with serum phosphorus 4.6-5.5 mg/dL, 2022",28.3,2022,CWP3y4_u
US,"US: Phosphorus (Adult) - % of patient-months with serum phosphorus 5.6-7.0 mg/dL, 2022",22.23,2022,CWP4y4_u
US,"US: Phosphorus (Adult) - % of patient-months with serum phosphorus > 7.0 mg/dL, 2022",15.62,2022,CWP5y4_u
US,"US: Phosphorus (Adult) - % of patient-months with serum phosphorus Missing, 2022",3.44,2022,CWPmissy4_u
US,"US: Phosphorus (Adult) - % of patient-months with serum phosphorus Out of Range, 2022",0.0,2022,CWPOoRy4_u
US,"US: Hypercalcemia (Adult) - Average uncorrected calcium > 10.2 mg/dL, out of valid in range patient-months, 2022",2.0,2022,CWunCagt102y4_u
US,"US: Calcium (Adult) - Average Number of Eligible Dialysis Patients, 2022",78.23,2022,CWptdenomy4m_u
US,"US: Calcium (Adult) - Average Number of Eligible Dialysis Patient-months, 2022",668.02,2022,CWptmthdenomy4m_u
US,"US: Phosphorus (Adult) - Average Number of Eligible Dialysis Patients, 2022",83.41,2022,serumphospatsy4m_u
US,"US: Phosphorus (Adult) - Average Number of Eligible Dialysis Patient-months, 2022",707.3,2022,serumphospmy4m_u
US,"US: Hypercalcemia (Adult) - Average Number of Eligible Dialysis Patients, 2022",78.23,2022,CWhcptdenomy4m_u
US,"US: Hypercalcemia (Adult) - Average Number of Eligible Dialysis Patient-months, 2022",668.08,2022,CWhcptmthdenomy4m_u
US,"U: Prevalent VA Type (Adult) - % of patients receiving treatment with fistulae, 2022",58.93,2022,ppavfy4_u
US,"U: Prevalent VA Type (Adult) - % of patients receiving treatment with grafts, 2022",16.64,2022,ppavgy4_u
US,"U: Prevalent VA Type (Adult) - % of patients receiving treatment with catheters, 2022",22.14,2022,ppcathy4_u
US,"U: Prevalent VA Type (Adult) - % of patients receiving treatment with other or unknown access type., 2022",2.3,2022,ppomy4_u
US,"U: Prevalent VA Type (Adult) - Long-Term Catheter Rate, 2022",17.16,2022,ltcy4_u
US,"U: Incident VA Type (Adult) - % of patients receiving treatment with fistulae, 2022",11.86,2022,piavfy4_u
US,"U: Incident VA Type (Adult) - % of patients receiving treatment with grafts, 2022",3.19,2022,piavgy4_u
US,"U: Incident VA Type (Adult) - % of patients receiving treatment with catheters, 2022",80.79,2022,picathy4_u
US,"U: Incident VA Type (Adult) - % of patients receiving treatment with other or unknown access type., 2022",4.16,2022,piomy4_u
US,"U: Incident VA Type (Adult) - % of patients with fistulae placed, 2022",12.44,2022,pifisty4_u
US,"U: Prevalent VA Type (Adult) - Average number of HD patients, 2022",74.09,2022,phdvapty4m_u
US,"U: Prevalent VA Type (Adult) - Average number of HD patient-months, 2022",623.47,2022,phdy4m_u
US,"U: Incident VA Type (Adult) - Average number of HD patients, 2022",13.8,2022,ihdy4m_u
US,"U: Prevalent VA Type (Adult) - Standardized Fistula Rate (SFR), 2022",58.6,2022,sfry4_u
US,"U: VA infection - Average number of eligible PD patients, 2022",10.92,2022,pdpaty4m_u
US,"U: VA infection - Average number of eligible PD patient-months, 2022",78.46,2022,pdptmoy4m_u
US,"U: VA infection - PD catheter infection rate per 100 PD patient-months, 2019",2.47,2019,pd2inf100moy1_u
US,"U: VA infection - PD catheter infection rate per 100 PD patient-months, 2020",2.54,2020,pd2inf100moy2_u
US,"U: VA infection - PD catheter infection rate per 100 PD patient-months, 2021",2.6,2021,pd2inf100moy3_u
US,"U: VA infection - PD catheter infection rate per 100 PD patient-months, 2022",2.47,2022,pd2inf100moy4_u
US,"US: Prevalent Comorbidities - Average Number of Medicare Dialysis Patients Alive on December 31, 2022",45.89,2022,ncmy4m_u
US,"US: Prevalent Comorbidities - Average % with Anemia, 2022",3.28,2022,clmanemy4_u
US,"US: Prevalent Comorbidities - Average % with AIDS, 2022",0.77,2022,clmhivaidmy4_u
US,"US: Prevalent Comorbidities - Average % with Alcohol Dependence, 2022",1.41,2022,clmalcomy4_u
US,"US: Prevalent Comorbidities - Average % with Cancer, 2022",3.61,2022,clmcanmy4_u
US,"US: Prevalent Comorbidities - Average % with Cardiac Arrest, 2022",1.02,2022,clmcamy4_u
US,"US: Prevalent Comorbidities - Average % with Cardiac Dysrythmias, 2022",19.69,2022,clmcdmy4_u
US,"US: Prevalent Comorbidities - Average % with Cerebrovascular Disease, 2022",7.71,2022,clmcvdmy4_u
US,"US: Prevalent Comorbidities - Average % with Chronic Observedtructive Pulmonary Disease, 2022",14.7,2022,clmcopdmy4_u
US,"US: Prevalent Comorbidities - Average % with Congestive Heart Failure, 2022",31.69,2022,clmchfmy4_u
US,"US: Prevalent Comorbidities - Average % with Diabetes, 2022",37.41,2022,clmdiabmy4_u
